name,id,planetary,decivRemove,script,desc,icon,order
Urbanized Polity,urbanized_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,"A dense and cosmopolitan center of population, people of all walks of life live, work, and die in the stacked hab-complexes, commercial concourses, and modular workshops.",graphics/icons/markets/urbanized_polity.png,130
Industrial Polity,industrial_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,"A bustling industrial center. The policies of the local government encourage thriving industry, at the expense of all other concerns.",graphics/icons/markets/urbanized_polity.png,130
Rural Polity,rural_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,"A sparsely populated polity of homesteads and insular townships. In these troubled times, outsiders are generally treated with suspicion.",graphics/icons/markets/rural_polity.png,130
Large Refugee Population,large_refugee_population,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,"Desperate refugees fleeing some disaster have ended up here. Refugees live at the bottom of society with little opportunity for betterment, straining domestic infrastructure living in tense semi-legal status. Reduced overall production. More prospective crew members are likely to be found among those trying to escape the squalid living conditions.",graphics/icons/markets/refugee_population.png,140
Volturnian Lobster Pens,volturnian_lobster_pens,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,A mix of several Old Earth species and a little imagination produced this creature which grows wild in the crushing depths of Volturn's sea-floor. The flavor is said to be exceptional.,graphics/icons/markets/lobster_pens.png,137
Vice Demand,vice_demand,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,The demand for vice goods is unusually high here.,graphics/icons/markets/vice_demand.png,145
Organized Crime,organized_crime,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,Criminal activity produces drugs and harvested organs. Increases demand for hand weapons (by both various crime bosses and local citizenry) and marines (by the local authorities).,graphics/icons/markets/organized_crime.png,148
Frontier,frontier,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,"Far from the cosmopolitan centers of population, mere survival, self-reliance, and only-the-necessities are the rules of the frontier. Increased demand for weapons and supplies, reduced demand for luxury goods.",graphics/icons/markets/frontier.png,130
Shipbreaking Center,shipbreaking_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,"A major center of shipbreaking in this region of the Sector, hulks are consigned to scrapping here by the navies of major factions and many other clients from among the Sector core worlds.",graphics/icons/markets/shipbreaking.png,360
Trade Center,trade_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,"A major center of trade, merchant vessels from across the Sector dock here expecting to find a buyer for their goods- and to find something to buy in turn for a nice profit.",graphics/icons/markets/trade_center.png,280
