id,group,rank,order,hazard,reqSurvey,xpMult,requiresAll,requiresAny,requiresNotAny,cat_giant,cat_barren,rocky_unstable,rocky_ice,cat_hab1,cat_lava,lava_minor,cat_frozen,cat_cryovolcanic,cat_irradiated,cat_toxic,toxic_cold,cat_hab5,cat_hab4,cat_hab3,terran-eccentric,jungle,water,arid,tundra,cat_hab2,multipliers >>>,tectonic_activity,extreme_tectonic_activity,low_gravity,high_gravity,hot,very_hot,cold,very_cold,dense_atmosphere,water_surface,mild_climate,extreme_weather,poor_light,inimical_biosphere,pollution
habitable,habitable,1,0,-0.25,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold,cold,1,1,0.25,,,,,"hot, very_hot",,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
very_cold,cold,2,1,0.5,,,,,"hot, very_hot, habitable",,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot,hot,1,1,0.25,,,,,"cold, very_cold",,,,,,,1,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,
very_hot,hot,2,1,0.5,,,,,"cold, very_cold, habitable",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tectonic_no_pick,tectonic,0,1,,,,,,,,,,,,,,,,,100,100,200,100,100,,,,,,,,,,,,,,,,,,,,,,
tectonic_activity,tectonic,1,1,0.25,,,,,,,,10,,,,1,,10,,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,
extreme_tectonic_activity,tectonic,2,1,0.5,,,,,,,,1,,,1,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atmosphere_no_pick,atmosphere,0,1,,,,,,,10,,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_atmosphere,atmosphere,1,1,0.5,,,,,habitable,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thin_atmosphere,atmosphere,1,1,0.25,,,,,habitable,,,,,1,,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
toxic_atmosphere,atmosphere,1,1,0.5,,,,,habitable,3,,,,,10,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
dense_atmosphere,atmosphere,1,1,0.5,,,,,habitable,3,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weather_no_pick,weather,0,2,,,,,,,10,,,,10,,,10,10,10,10,10,20,10,10,,10,10,,,0,,,,,,,,,,,,,,,,
mild_climate,weather,1,2,-0.25,,,habitable,,,,,,,,,,,,,,,10,2,1,,,,,,,,,,,,,,,,,,,,,,
extreme_weather,weather,1,2,0.25,,,,,no_atmosphere,10,,,,1,,,1,1,1,1,1,1,1,1,,3,3,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_gravity,gravity,0,1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_gravity,gravity,1,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irradiated,radiation,0,1,0.5,,,,,habitable,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biosphere_no_pick,biosphere,,1,,,,,,,500,1000,,,100,1000,1000,100,100,10000,1000,1000,,,10,,10,,,,100,,,,,,,,,,,,,,,,
inimical_biosphere,biosphere,,1,0.25,,,,,,1,1,,,1,1,1,1,1,1,1,1,,,1,,10,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_surface,surface,,1,0.25,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poor_light,light,,1,0.25,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
dark,light,,1,0.5,,,,,habitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_impacts,meteor,1,2,0.5,,,,"thin_atmosphere, no_atmosphere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollution_no_pick,pollution,0,20,,,,,,,,100,,,10,,10,10,10,,,,100,5,5,,,,,,,,,,,,,,,,,,,,,,
pollution,pollution,1,20,0.25,,,,"ruins_scattered, ruins_widespread, ruins_extensive, ruins_vast",,,1,,,1,,1,1,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
