id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
# COMBAT,,,,,,,,,,,,,
helmsmanship,Helmsmanship,10,1,0,,"It sings when you push the mix just right, like, [humming]. Everything is right in the world, from the stars down to your bones. Coming off a shift, it’s like I just woke up. [laughing] Words can't tell it.","Nachiketa Portside Interview Project, Ep.3",TRUE,,,,graphics/icons/skills/helmsmanship.png,
combat_endurance,Combat Endurance,20,1,0,,"Through calamity, the Fourteenth endured. 
Through hegemony, the Domain endures. 
Through duty, humanity shall endure.","Admiral Kali Molina, the Declaration of Hegemony, c49",TRUE,,,,graphics/icons/skills/combat_endurance3.png,
impact_mitigation,Impact Mitigation,30,2,0,,"The maneuver produced an oblique impact angle, dissipating the shell's momentum into the ferrofoam applique. It was the unfortunate timing of the resulting shock which brought about Spacer York's tragic end during an otherwise routine heavy equipment transfer.","Thule skirmish of c120.03.08, AAR submitted by Navarch Zhou",TRUE,,,,graphics/icons/skills/impact_mitigation.png,
damage_control,Damage Control,40,2,0,,"Straight from the great forges of Kazeron, this ship is the very best of the League. And we shall treasure this gift, for it stands between our homes and those who would end our way of life.","Navarch Tethys, launching ceremony of the PLS Astelene Key",TRUE,,,,graphics/icons/skills/damage_control2.png,
field_modulation,Field Modulation,50,2,0,,Few have a talent for what I like to think of as 'active tuning'. I find musicians make the best fields officers.,"Ardis Soloman, leaked data submitted to COMSEC redaction algorithm",TRUE,,,active_defenses,graphics/icons/skills/field_modulation.png,
point_defense,Point Defense,60,3,0,,"Me, I don't take with them lasers and the like. Puts on a hell of a lightshow, ya'sure, but nothing stops incoming blips like the wall of DU from a good Vulcan matrix.","""Lower Deck Heroes"", a HEGCOM serial",TRUE,,,,graphics/icons/skills/advanced_countermeasures.png,
target_analysis,Target Analysis,70,4,0,,A machine-assisted human mind is capable of intuiting effective solutions despite conflicting sensor data and contradictory tactical directives. The targeting computer alone can never truly replace a warrior.,"""On Space Combat, XXIIth ed."", from Domain Battlegroup XIV library ",TRUE,,,,graphics/icons/skills/target_analysis2.png,
ballistic_mastery,Ballistic Mastery,80,4,0,,"What's it stopped the Tri-Tach plot? (Guns!)
What was it ol' Ludd forgot? (Guns!)
Wha’ve we got that they have not? (Big, big, guns!)",drinking song of the Hegemony navy,TRUE,,,ballistic_weapons,graphics/icons/skills/ranged_specialization.png,
systems_expertise,Systems Expertise,90,5,4,2,"No, I don't think it's a contradiction. It's a, uh, spiritual journey. You're tested. And it's like they say, the Devil is in the details.","""Ludd's Footsoldiers"" holodoc, interview with Pather engineer",TRUE,,,,graphics/icons/skills/systems_expertise.png,
