name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Flare Launcher,flarelauncher,,,,,,,,5,,,,,5,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
Canister Flak,canister_flak,,,,,,,,2,0.05,,,,3,,,,,,,,,,,,,
Decoy Flare Launcher,flarelauncher_fighter,,,,,,,,1,0.033,,,,5,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
Decoy Flare Launcher (Single),flarelauncher_single,,,,,,,,1,0.033,,,,5,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
Active Flare Launcher,flarelauncher_active,,,,,,0.1,,,,,,,5,,,,,,,,,,,,,graphics/icons/hullsys/active_flare_launcher.png
Burn Drive,burndrive,1,,,,,,,,,2,5,1,10,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
Plasma Burn,microburn,1,,,,,,,2,0.1,0.5,0.5,0.5,,,,,,,,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Microburn,microburn_omega,1,,,,,,,3,0.1,0.5,0.5,0.5,,,,,,,,TRUE,TRUE,,,,restricted,graphics/icons/hullsys/burn_drive.png
Maneuvering Jets,maneuveringjets,,,,,,,,,,1,5,1,5,,,,,,,,,,,,,graphics/icons/hullsys/maneuvering_jets.png
Infernium Injector,inferniuminjector,1,,,,,,,,,1,,1,1,TRUE,,,,,,,TRUE,,,,,graphics/icons/hullsys/infernium_injector.png
Fast Missile Racks,fastmissileracks,,,,,,0.25,,3,0.1,1,0,0,0,,,,,,,,,,,,,graphics/icons/hullsys/missile_racks.png
Fortress Shield,fortressshield,,,0.025,,,,,,,1.5,,1.5,0,TRUE,,,TRUE,TRUE,,,,,,,,graphics/icons/hullsys/fortress_shield.png
High Energy Focus,highenergyfocus,1,,,,,,,3,0.05,0.25,3,0.25,,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Phase Teleporter,phaseteleporter,,,,,,,,,,0.5,0,0.5,10,,,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
Phase Skimmer,displacer,,,,,,,,3,0.1,0.25,,0.25,0,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
Point Defense Drones,drone_pd,,,,,,,,20,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Point Defense Drones,drone_pd_x2,,,,,,,,10,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_mid.png
Borer Drones,drone_borer,,,,,,,,15,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_borer.png
Sensor Drones,drone_sensor,,,,,,,,5,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Terminator Drone,drone_terminator,,,,,,,,1,0.0333,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Accelerated Ammo Feeder,ammofeed,,,,,,,,,,1,5,1,10,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
EMP Emitter,emp,1,,,,,0.2,,,,0.5,4,0.5,3,,,,,TRUE,,,,,,,,graphics/icons/hullsys/emp_emitter.png
Missile Autoforge,forgevats,,,,,,0.9,,1,,1,0,0,0,,,,,,,,,,,,,graphics/icons/hullsys/missile_autoforge.png
Damper Field,damper,1,,,,,,,2,0.05,0.25,3,0.25,0,,,,,TRUE,,,,TRUE,TRUE,,uses_damper_ai,graphics/icons/hullsys/damper_field.png
