id,type,text1,text2,text3,text4,notes
lightmg,WEAPON,"A venerable low-cost, readily available rapid fire weapon which has been used effectively versus missiles and fighters at short range throughout the history of combat in space. It is nearly useless versus properly armored targets.

Due to ease of manufacture, hundreds of models exist in the Sector. Any weapon that employs chemical propellant to fire inert projectiles at over 1200 rounds per minute can be classified as a light ship-mounted machine gun, but beyond that the mechanisms that drive the actions of these weapons vary considerably. 

Popular with small civilian craft due to low cost ammunition. Projectiles jacketed with metals that have a high melting point allow greater muzzle velocity and deliver a surprisingly large amount of kinetic energy at close-range.",,,,
lightdualmg,WEAPON,"An upgraded, twin barrel version of the venerable light machine gun. Not effective against armored targets, but has excelled in an anti-missile and fighter role since the dawn of human space combat.

This is a dual mount of the same rapid fire, inert, low-caliber chemical projectile weapon known to every pilot in the Sector. An excellent point defense mount, which excels in both a missile interdiction and anti-fighter role. 

The large amount of kinetic energy delivered to shield systems of enemy craft at close-range typically causes emitter overload, a tactical option often overlooked by inexperienced captains.",,,,
lightmortar,WEAPON,"An antiquated weapon that fires anti-armor rounds at a low rate of fire, muzzle velocity, and range. Its low flux buildup is a lone saving grace.

The weapon blueprints for Light Mortars actually did not intend them for spacecraft at all, but an ingenious modification to the breech loading mechanism permits installation and use outside an atmospheric environment. In combat, there is little the Light Mortar can do versus moving or shielded targets due to its terrible mount rotation and rate of fire. Nonetheless, it is often used for training novice gunnery officers in the finer points of space ballistic tactics and nomenclature.

Commonly fitted on private yachts and solo interplanetary vehicles because it is so light and cheap.",,,,
heavymortar,WEAPON,"An antiquated weapon that fires larger anti-armor rounds at a somewhat higher rate of fire than its smaller cousin. Projectile speed is low and effective range is short. Low flux buildup is a lone saving grace.

The Heavy Mortar was originally designed for use in planetary surface combat. Ostensibly intended for cracking fortifications, it saw far more use in urban bombardment. The robust internal mechanisms permit installation and use outside an atmospheric environment with only minor adjustments, notably replacement of the automatic rangefinder/targeting module. If employed against a large, unshielded, and slow-moving target, the heavy mortar can prove most effective.",,,,
vulcan,WEAPON,"A rapid fire weapon that is especially devastating to missiles and fighters at point-blank range. Accuracy degrades sharply during prolonged bursts. 

An advanced timing mechanism beats in the heart of this multi-barrel weapon platform, generally manufactured only by licensed Hegemony Autofactories. Rounds typically use depleted uranium tips and are non explosive. Multiple barrels enable an extremely high rate of fire, which comes at a cost in flux.",,,,
lightac,WEAPON,"A small caliber autocannon with a good range for such a light weapon. Designed to weaken enemy shields, especially effective against weaker generators.

The weapon fires high velocity kinetic rounds designed to overload enemy shields with ease. Features an autoloader and is liquid cooled. 

Excellent fire support weapon for smaller craft.  Poor mount turn rate makes it a bad choice vs fighters and missiles.",,,,
lightdualac,WEAPON,"A double barreled version of the Light AC. An excellent weapon for close-range support, and quite effective at bringing shields down, it suffers from a shorter effective range due to high recoil.

An ingeniously elegant mechanical design prevents ejection ports from being jammed while expelling twice as many spent shell casings as the standard chassis. Like the single barrel version, the weapon fires high velocity rounds designed to punch through enemy shields. Autoloader and liquid cooling systems are identical to the single barrel version.",,,,
lightag,WEAPON,"A small caliber cannon designed for close-range fights, excellent versus armor and with a superb fire rate.

Small caliber cannon designed to fire high-explosive rounds. Design of the coolant systems and autoloader emphasizes safety and prevention of cook-off potentially caused by high flux levels. Favored by destroyer captains that have something to prove.",,,,
fragbomb,WEAPON,"Releases a cluster of free-floating bomblets that retain the momentum of the launching craft. The bomblets are equipped with a proximity fuse.

A Frag Bomb projector fires Mark VI fragmentation bomblets from three tubes. Unguided and without a propulsion system, the bomblets rely on a friend-or-foe targeting system. Their vast numbers allow them to cover a wide swath of space, effectively creating a Point Defense barrier in that location, albeit for a limited time. When the proximity fuse is triggered by an enemy craft, the bomblet will detonate, achieving similar effects to those of flak weapons.",,,,
clusterbomb,WEAPON,"Releases a cluster of free-floating, high-explosive bomblets. More effective versus unshielded and slow-moving targets.

A Cluster Bomb projector is equipped with three tubes designed to fire dozens of Mark II Explosively Formed Penetrator bomblets. The bomblets are unguided and have no propulsion system, relying on the initial momentum of the strike craft to engage the target. They are equipped with a friend-or-foe targeting scanner, and will only detonate when impacting an appropriate target. The shaped charge explosive is highly effective versus unshielded targets. The sheer number of bomblets that can be deployed by this weapon system is staggering, and as such it makes the Cluster Bomb a useful area denial weapon.",,,,
bomb,WEAPON,"A tried and tested weapon system, the bomb bay holds multiple warheads that rely on the velocity of the launching craft to reach their target.

Each bomb bay is equipped with several non guided high-explosive Comp-X bombs that can be released one at a time. The bombs have no propulsion system and are dependent on the velocity of the launching craft to carry them to target (i.e., dive bombing).  Atmospheric shielding intrinsic to the design also gives the bombs a high Time To Live in an hostile Point-Defense environment.",,,,
lightneedler,WEAPON,"Fires bursts of small flechettes at a high rate of fire. The volume of fire can quickly overwhelm shield projectors, but is generally ineffective against armor.

A Light Needler is a small-bore flechette gun, designed to fire caseless ammunition. Features an impressive feed system which can deliver hundreds of ""needles"" per second. There is no need for an ejector system, and the resulting space availability is instead used to provide additional cooling units, vastly enhancing the rate of fire. 

Domain Naval doctrine holds that the weapon is to be used on enemy shields at long-range, but in a pinch, gunnery officers will train their Needlers on enemy fighter wings and long-range missile threats.",,,,
railgun,WEAPON,"A high-tech improvement of the Autocannon, the railgun fires accurate, medium-range slugs. Like the AC, it excels at overwhelming enemy shield generators.

A miniaturized version of the Gauss Cannon, the railgun relies on a strong magnetic field to fire shells at high velocities. The accuracy and range are excellent, and the turret is able to rotate quickly while not firing. 

The railgun is preferred to the Autocannon by gunnery officers that have ample flux capacity at their disposal.",,,,
shredder,WEAPON,"A rotatory cannon with generous engineering specifications which provide for great ease of operation and reliability. Weapons officers across the professional navies of the Sector, meanwhile, curse the Thumper for rewarding poor maintenance habits. 

Shreds enemy missiles and fighters with an overwhelming hail of small payload, medium velocity fragmentation rounds. Although flux-efficient, this weapon system has little effect against armor and shields.",,,,
