id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,居住区 & 基础设施,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,"从摇摇欲坠的模块结构到繁华的不夜之都,}这里包含了一切殖民地常住人口所需的基础设施.",100,
farming,农业,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"农业是一种与文明本身同样古老的贸易和技术,}千百年来,}人类不断利用自然、改良器械、人造生物机器的力量来维持生计.}所以正如一成不变的人类一样,}农业的意义与性质都未曾改变. ",200,LOW
aquaculture,水产养殖,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"想要在海洋行星进行大范围的养殖作业,}就必须为筛选出合适的生物工程物种来投入大量初始资金,}可一旦这个过程结束,}那么藻类以及鱼类养殖场将只需一定的人口进行操作,}而无需专业培训与设备的支持. ",210,MEDIUM
mining,采矿业,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,"金属/稀有金属矿石、有机物、挥发物的开采都需重型设备,}特殊基础设施与娴熟劳动力的支持.}尽管苛刻的工作条件仍会吸引特定人群前往此处,}但任何一个管事的政府总会发现这些自愿人员总是那么稀缺. ",300,MEDIUM
techmining,技术挖掘,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,"技术挖掘是一种从}人之领}废墟中回收珍稀文物的复杂艺术.}通常需要大量特殊工具来处理各种潜在危险以及分配足够多的专家/学者来判断高收益的探索区域.}而那些性格怪癖的年长技术矿工,}不仅喜欢佩戴着奇异的幸运护符,}且拒绝未经仪式洗礼的挖掘工作. ",400,MEDIUM
refining,冶炼厂,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,冶炼厂的主要职责就是将各类金属矿石铸锭成金属/稀有金属.}而部分极度危险的工作流程一般都交给遥控机器人来处理. ,500,MEDIUM
spaceport,太空港,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,装卸货物与提供基本星舰维修服务的港口设施.}未设立太空港就意味着该殖民地无法进行星际贸易. ,150,HIGH
megaport,特大型港口,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,"遭受严格管制的星舰着陆平台和装甲燃料罐被纵横交错的通道与短程货运有轨电车连接到了一起,}并为大片错落有致的仓库以及物流终端提供了补给支持.}而这所有的一切都大大提高了殖民地的流通性. ",151,EXTREME
lightindustry,轻工业,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,"通常生产日用品与奢侈品.}由于技术含量较低,}也让它成为了少数几个未受}""大崩塌""}影响的支柱产业之一. ",1400,MEDIUM
heavyindustry,重工业,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"用于生产重型机械,}补给与武器的集中制造基础设施.}同时也能生产些几乎没有空间价值的星舰船体.}可通过安装纳米锻炉来提高生产质量. ",1600,HIGH
orbitalworks,轨道设施,60,150,,12,heavyindustry,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/orbital_works.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"用于生产重型机械,}补给与武器的集中制造基础设施.}同时也能生产些几乎没有空间价值的星舰船体.}可通过安装纳米锻炉来提高生产质量. 

升级并采用轨道生产设施,}来进一步加快船体建造,}并减少制造缺陷.",1700,HIGH
fuelprod,燃料生产,90,120,,10,,,"fuelprod, industry, industrial",,graphics/icons/industry/fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,"该设施生产着被誉为星际文明生命线的星舰燃料.}因缺乏}人之领}先进的制造技术,}而导致燃料生产是一个费时费力缓慢过程. ",1800,HIGH
#advfuelprod,先进燃料生产,120,60,,5,fuelprod,,fuelprod,,graphics/icons/industry/advanced_fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,"被赋予了}人之领}先进技术的燃料生产设施正源源不断地输送着}""星际血液"". ",1900,
commerce,贸易中心,90,90,,3,,,"industry, urban",,graphics/icons/industry/commerce.png,com.fs.starfarer.api.impl.campaign.econ.impl.TradeCenter,"通过赋予法规,}资助和基础设施,}来鼓励这的独立贸易朝着繁荣迈进. ",1950,MEDIUM
station_base,轨道站,,,,,,,"station, parent_item, important, structure",station,graphics/icons/industry/station_category.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"一处能够为殖民地附近的友军舰队提供火力支援的空间站,}它的存在将阻止任何轰炸行动的发生. 

尽管有不同的设计类型,}但这通常仅判断其所采用的战术,}而非战力.",2000,
orbitalstation,轨道站 - 主宰纪元,50,90,,3,,battlestation,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"设计于主宰纪元的标准轨道站,}特点是极为厚重的装甲与不俗的火力. 

它的存在将阻止任何轰炸行动的发生.",2010,
battlestation,作战基地 - 主宰纪元,100,120,,4,orbitalstation,starfortress,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"增建了火力与防御平台,}并加装了一些外挂装甲以提高其防御力. 

它的存在将阻止任何轰炸行动的发生.",2020,
starfortress,星际要塞 - 主宰纪元,200,180,,5,battlestation,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"增建了大量的外挂装甲,}并配备{城齿-级}无人机,}且布置了感应雷区. 

它的存在将阻止任何轰炸行动的发生.",2030,
orbitalstation_mid,轨道站 - 核心纪元,50,90,,3,,battlestation_mid,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_midline_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"设计于核心纪元的标准轨道,}拥有极为强大的单侧火力,}且绕轴旋转速度更快. 

它的存在将阻止任何轰炸行动的发生.",2040,
battlestation_mid,作战基地 - 核心纪元,100,120,,4,orbitalstation_mid,starfortress_mid,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_midline_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"在原有基础上增建了两处轻型支援平台.

它的存在将阻止任何轰炸行动的发生.",2050,
starfortress_mid,星际要塞 - 核心纪元,200,180,,5,battlestation_mid,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_midline_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"增建了大量的外挂装甲,}并配备了{三角堡-级}无人机与感应雷区. 

它的存在将阻止任何轰炸行动的发生.",2060,
orbitalstation_high,轨道站 - 扩展纪元,50,90,,3,,battlestation_high,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_hightech_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"设计于扩展纪元的标准轨道站,}配备了两处独立的重型护盾模块,}以及高效的机库平台与不俗火力. 

它的存在将阻止任何轰炸行动的发生.",2070,
