name,id,planetary,decivRemove,script,desc,icon,order
城市化,urbanized_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,人口稠密，拥有商业中心与各种工业园区的国际化大都市。各行各业的人们在这座宏伟的{HAD}综合型圆顶城市中，生活，工作直至死亡。粮食产量下降，奢侈品和日用品需求增加。,graphics/icons/markets/urbanized_polity.png,130
工业化,industrial_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,一处繁荣的工业中心，因地方政府大肆鼓励工业发展，而牺牲了其他所有方面的利益。,graphics/icons/markets/urbanized_polity.png,130
村镇化,rural_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,人口稀少，由宅基地与岛屿城镇组成的共和政体。在这乱世中，任何外来者一般都难以得到本地居民的信任。粮食产量增加，奢侈品和日用品需求减少。,graphics/icons/markets/rural_polity.png,130
难民潮,large_refugee_population,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,充斥着大量为逃离灾难而涌入的难民。这些绝望且生活在社会最底层的人们，因占用过多生活资源而导致基础设施不堪重负，进而让本地劳动生产率降低。在那些试图逃离这片恶劣生活环境的人中，应该能发现不少等待雇佣的船员。,graphics/icons/markets/refugee_population.png,140
Volturn 蓝龙虾养殖场,volturnian_lobster_pens,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,混合了多种旧地球物种和一点想象力而创造出的生物，它们主要栖息在{Volturn}海底深处的破碎海床上，据说味道非常独特。,graphics/icons/markets/lobster_pens.png,137
违禁品需求,vice_demand,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,这里有着非常高的违禁品需求。,graphics/icons/markets/vice_demand.png,145
犯罪组织,organized_crime,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,包括了生产毒品和收割器官。增加对重型武器(各个犯罪集团的首脑与本地居民)和陆战队员(地方政府)的需求。,graphics/icons/markets/organized_crime.png,148
边境之地,frontier,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,远离人口聚集地，仅为生存，自力更生，拥有生活必需品即可。武器与日用品需求增加，奢侈品需求降低—活下去才是边境生存的首要法则。,graphics/icons/markets/frontier.png,130
拆船中心,shipbreaking_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,以拆卸舰船为产业中心，不同势力的军队与其它客户都会将报废船只送往这里以供拆卸。,graphics/icons/markets/shipbreaking.png,360
贸易中心,trade_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,主要的贸易中心，星域各地的商船都会停靠于此，并期待为他们的货物找到买家或买到那些能赚取更高利润的廉价货物。,graphics/icons/markets/trade_center.png,280
荒蛮之地,decivilized,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,没有稳定的政体，且文明早已崩溃。虽然能探测到幸存者，土匪和强盗等群体但实际人口依然不明。,graphics/icons/markets/decivilized.png,130
法外之地,decivilized_subpop,,,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,尽管{$market}已经有文明复苏的迹象，但这里仍是一处人人都佩戴着高斯步枪，且充斥着幸存者，强盗以及掠夺者的法外之地。,graphics/icons/markets/decivilized.png,130
废弃空间站,abandoned_station,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,这处空间站已经遭到废弃。,graphics/icons/markets/abandoned.png,130
家庭手工业,cottage_industry,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,$market}拥有以低技术和密集型劳动力为基础的轻工业。有机燃料与材料需求提高，提供手工制造的日用品，虽然低效但十分令人着迷。,graphics/icons/markets/cottage_industry.png,230
前哨站,outpost,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,$market}更像是一处守备站或是一艘战舰，具备一整套严苛的指挥结构。这样做尽管提高了稳定性，但需要一些人员来处理内部安全事务。,graphics/icons/markets/outpost.png,130
