id,trigger,conditions,script,text,options,notes
# default entity interaction,,,,,,
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:离开,
defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
# warning beacons,,,,,,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""",被留在此处的自主警告航标在多个官方使用的频道上发出扭曲的哀嚎声。无论它要传达什么信息，应该都已经损坏了。,beaconLeave:离开,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","这个自主警告航标循环播报着一条讯息。

""警告：已知此星系部署有潜在活跃的自律性攻击系统。根据 霸主 海军勒令 224 项 34 条之规定，禁止任何未经授权的第三方对象进入。""",beaconLeave:离开,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","这个自主警告航标循环播报着一条讯息。

""警告：已知此星系部署有潜在活跃的自律性攻击系统。根据 霸主 海军勒令 224 项 34 条之规定，禁止任何未经授权的第三方对象进入。""",beaconLeave:离开,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","这个自主警告航标循环播报着一条讯息。

""警告：已知此星系部署有潜在活跃的自律性攻击系统。根据 霸主 海军勒令 224 项 34 条之规定，禁止任何未经授权的第三方对象进入。""",beaconLeave:离开,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","这个自主警告信标循环发出着一条讯息。

""这处世界已经被罪恶科技所腐化，它如今的可憎面貌恰恰证明了背离美德之路的结果。任何试图探究堕落之源的行为均被严令禁止，任何蔑视这一警告的人，都将遭到卢德骑士团的神圣制裁，慎思笃行！""",beaconLeave:离开,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,
,,,,,,
# gate interactions,,,,,,"# we can treat $global.gatesActive as ""has working Janus device"" -dgb"
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
FireAll PopulateGateOptions","这个毫无活动迹象的环状结构由坚不可摧的材料构成，是上个世代的遗迹。

星门一片死寂。",,
gateOpenDialogActive,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","巨大而坚不可摧的圆环屹立在你面前，这是来自上个世代的遗迹。

你已经扫描了这座星门，且知晓它隐藏在空间断层中关键的核心运行节律。使用 ""双面神"" 装置建立通往另一星门的桥路需要大量的燃料。目标星门越远，需要的燃料越多。

""双面神"" 装置的运作方式是通过领航舰的超光速驱动场输送大量的独特相位能量，以稳定两个星门之间的直接连接。",,
gateOpenDialogActiveCanNotUse,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
!$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","巨大而坚不可摧的圆环屹立在你面前，这是来自上个世代的遗迹。

你已经扫描了这座星门，且知晓它隐藏在空间断层中关键的核心运行节律。使用 ""双面神"" 装置建立通往另一星门的桥路需要大量的燃料。目标星门越远，需要的燃料越多。

你必须将 ""双面神"" 装置整合到你的舰队中才能使用星门。",,
gateOpenDialogCanScan1,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","这个毫无活动迹象的环状结构由坚不可摧的材料构成，是上个世代的遗迹。

传感器操作官向你点头示意，你的指令界面亮了起来。""启动扫描"" 的按键仿佛满怀期待一般闪烁着。星门依然如墓穴般冰冷，一如既往地静候着。",,
gateOpenDialogCanScan1a,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","这个毫无活动迹象的环状结构由坚不可摧的材料构成，是上个世代的遗迹。

你已经扫描了这座星门，且知晓它隐藏在空间断层中关键的核心运行节律。",,
gateOpenDialogCanScan2,OpenInteractionDialog,"$tag:gate
$global.canScanGates
$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","这个毫无活动迹象的环状结构由坚不可摧的材料构成，是上个世代的遗迹。

传感器技师向你点头示意：超波扫描仪已经就绪。""启动扫描"" 的按键在你的指令面板上令人满怀期待地闪烁着。

你需要先对该星门进行扫描才能将它作为星门网络的出入口，然后才可通过 ""双面神"" 装置使用它。",,
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"$flewThrough = true 0
FireAll PopulateGateOptions","你命令你的$shipOrFleet穿越废弃的星门。在穿越星门的过程中，舰桥上的船员们显得格外地安静。

什么事情都没有发生。",,
