# Smuggling investigation inspector,,,,,
ise_greetingTOn,PickGreeting,"$ise_investigator
$player.transponderOn
!CallEvent $ise_eventRef paidBribe","ShowPersonVisual
SetShortcut cutCommLink ""ESCAPE""","经过了短暂的等待，你的连接请求被接受了。

{$personName}用怀疑地目光看着你。

""我相信你应该知道，我目前正在负责进行一项非常敏感的调查行动，没有时间和你闲聊。""

你有种感觉，如果你关闭应答器隐瞒身份进入港口，事情可能会有更多的进展。",0:cutCommLink:切断通讯
ise_greetingTOff,PickGreeting,"$ise_investigator
!$player.transponderOn
!CallEvent $ise_eventRef paidBribe","ShowPersonVisual
FireAll PopulateOptionsISE","经过了短暂的等待，你的连接请求被接受了。

{$personName}看了你好一段时间才开口。

""我相信你应该知道，我目前正在负责进行一项非常敏感的调查行动。""",
ise_greetingPaid,PickGreeting,"$ise_investigator
CallEvent $ise_eventRef paidBribe",EndConversation,经过了短暂的等待，你的连接请求被拒绝了。,
ise_offerBribe,PopulateOptionsISE,,"SetShortcut cutCommLink ""ESCAPE""",,"0:ise_offerBribe:""我知道进行这种彻底的调查会很花钱...""
1:cutCommLink:切断通讯"
ise_offerBribeSel,DialogOptionSelected,"$option == ise_offerBribe
$player.credits >= $ise_bribeAmount","SetTextHighlights $ise_bribeAmountDGS
SetShortcut cutCommLink ""ESCAPE""","""我很高兴能遇到一个能理解这些问题的人。

如果有良好的资助，比如说再有一笔{$ise_bribeAmountDGS}星币的款项 ，就能确保这项调查能够迅速获得一个令人满意的结论。""","0:ise_offerBribeAmount:提供一笔{$ise_bribeAmountDGS}星币的""捐助""
1:cutCommLink:切断通讯"
ise_offerBribeSelNotEnough,DialogOptionSelected,$option == ise_offerBribe,"SetTextHighlights $ise_bribeAmountDGSSetShortcut cutCommLink ""ESCAPE""","""我非常理解你对事态的关切，但听上去你似乎还没做好协助我解决这个误会的准备。 这还需要大概，嗯，{$ise_bribeAmountDGS}星币左右？才能促成一次合理的调查。""

""然后现在我有一堆关于你的精彩报告要读，所以下次你认真决定要做这件事的时候再来找我。""",0:cutCommLink:切断通讯
ise_offerBribeAmountSel,DialogOptionSelected,$option == ise_offerBribeAmount,"AddText ""失去了{$ise_bribeAmountDGS}星币"" textEnemyColor
AddText ""\""公民，非常感谢。我能肯定我的调查在限期内能获得一个令人满意的结论。\""""
SubCredits $ise_bribeAmount
CallEvent $ise_eventRef setBribePaid
SetShortcut cutCommLink ""ESCAPE""",,0:cutCommLink:切断通讯
# Good reputation with other faction investigation inspector,,,,,
igr_greetingTOn,PickGreeting,"$igr_investigator
$player.transponderOn
!CallEvent $igr_eventRef paidBribe","ShowPersonVisual
SetShortcut cutCommLink ""ESCAPE""","经过了短暂的等待，你的连接请求被接受了。

{$personName}用怀疑地目光看着你。

""我相信你应该知道，我目前正在负责进行一项非常敏感的调查行动，没有时间闲聊。更何况来的人还是个总所周知的调查嫌疑人。""

在""总所周知""这四个字上的轻微强调给你一种感觉，如果你关闭应答器隐瞒身份进入港口，事情可能会有更多的进展。",0:cutCommLink:切断通讯
igr_greetingTOff,PickGreeting,"$igr_investigator
!$player.transponderOn
!CallEvent $igr_eventRef paidBribe","ShowPersonVisual
SetShortcut cutCommLink ""ESCAPE""","经过了短暂的等待，你的连接请求被接受了。

$personName 看了你好一段时间才开口。

""我相信你应该知道，我目前正在负责进行一项非常敏感的调查行动。""","0:igr_offerBribe:""我只是想确保你有财力来进行彻底的调查...""
1:cutCommLink:切断通讯"
