name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
基础船体插件,modspec,modspec,,,1,1000,1,,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,一组说明，实例与指导方针，使用户能够将此修改适配/应用于各种船体中。,50
,,,,,,,,,,,,,,,
# industry-slotted items,,,,,,,,,,,,,,,
受损的纳米锻炉,corrupted_nanoforge,"nanoforge, pather4",人之领管制科技,,50000,1000,1,HIGH,graphics/icons/cargo/nanoforge_corrupted.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","一种功能全面且效率强大的""黑盒子""，只需在足够的原材料与人力的帮助下，它就足以成为无可匹敌的工业巨兽。

其残破的外表诉说着它曾经历过的残酷考验，尽管无法一直生产毫无缺陷的零部件，但对于制造星际飞船来说，能够使用纳米锻炉就是最伟大的进步。",139
全新的纳米锻炉,pristine_nanoforge,"nanoforge, hist3t, pather4",人之领管制科技,,250000,1000,1,EXTREME,graphics/icons/cargo/nanoforge_pristine.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","一种功能全面且效率强大的""黑盒子""，只需在足够的原材料与人力的帮助下，它就足以成为无可匹敌的工业巨兽。

从初步诊断情况来看，它的崭新程度令人惊讶。在实践中，鉴于当前星域的整体制造水平，想获得真正毫无缺陷的星舰组件仍是一种挑战，无论如何，能获得完善的纳米锻造技术就足以让人们热脉喷张。",139.1
同步加速器核心,synchrotron,"hist3t, pather4",人之领管制科技,,250000,1000,1,EXTREME,graphics/icons/cargo/synchrotron_core.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,fuelprod,一种特殊的纳米锻炉，配备有基础固件与纳米技术，并将自身构建成一个先进的同步加速器，以允许其参与工业规模的反物质燃料生产。,139.2
轨道聚变射灯,orbital_fusion_lamp,"hist3t, pather4",轨道工厂制造公司,,150000,1000,1,EXTREME,graphics/icons/cargo/fusion_lamp.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"一座微型化、输出可控的聚变反应堆，能够为一整颗星球带来光和热。

这种射灯需要消耗大量的的挥发物来确保其能安全运转。如果供给不足，则可能使该设备失稳，进而可能导致失控的能量输出激增。直到""大崩塌""发生时，人之领}的法庭里，关于该设备到底是存在设计缺陷还是使用不当的诉讼都没有停止过。",135
超分流阀门,coronal_portal,"hist3t, pather8",人之领管制科技,,300000,1000,1,EXTREME,graphics/icons/cargo/hypershunt_tap.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"一个微型虫洞式交互设备，可以与附近的星冕分流器连接，给殖民地提供近乎无限的能源。

这样的输电操作需要工业级稀有金属的供应支持。这些稀有金属首先被用来打开虫洞，而等到获取的能量足以使它自维持后，则会改为被用于一种极为复杂的烧蚀流程，以此来稳定虫洞。因此，如果稀有金属供应不足，它将只能全面断开连接。",137
全自动地幔钻机,mantle_bore,"hist3t, pather4",天苑四-乌托邦地貌改造集团,,80000,1000,1,EXTREME,graphics/icons/cargo/terraforming_bore.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,人们一般认为星区中已经没有仍能正常工作的钻机控制单元了，但是这台钻机能无需控制单元独立作业{——}尽管有时会有些无法预见的小毛病。自动模式的保险装置使这台钻机无法在宜居星球运行。,140
催化核心,catalytic_core,"hist3t, pather4",Ko 联合实业,,100000,1000,1,EXTREME,graphics/icons/cargo/catalytic_core.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,refining,通过应用几个渗透物理学上的古怪技术，这颗催化核心能极大地提高冶炼作业的效率。然而，这种技术操作对于真空环境的需求极为苛刻，在有大气的行星上几乎不可能达到这样的条件。,145
土壤纳米物质,soil_nanites,"hist3t, pather4",天苑四-乌托邦地貌改造集团,,60000,1000,1,EXTREME,graphics/icons/cargo/soil_nanites.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,farming,"可以被用于土壤增肥，并且把土壤恢复速度提高至一个自然过程远远达不到的速度。""人之领纳米物质安全规定""第4324条的第81款规定，纳米物质不得在有稀有矿石矿床或有挥发物储量的星球上使用，而它内置的安全保险看上去并未失效。",150
生物工厂胚胎,biofactory_embryo,"hist3t, pather4",艾克索达因生物科技,,120000,1000,1,EXTREME,graphics/icons/cargo/biofactory_embryo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,lightindustry,形形色色的日用品可以培育获得，而非从流水线制造。只要为提供适当的光照、土壤和大气环境，这个发育良好的幼体就可以蓬勃生长；而这种良好的环境只有宜居星球才能提供。在人造环境中模拟这种条件的情况无一成功，全部以工厂状况恶化告终，这或许是编码在胚胎基因里的保险导致的。,155
富勒烯线轴,fullerene_spool,"hist3t, pather4",轨道工厂制造公司,,150000,1000,1,EXTREME,graphics/icons/cargo/fullerene_spool.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"spaceport, megaport",一种极为坚固的纳米网编成的线，也是太空电梯的关键建材。总的来说，能够大幅提升行星地表和低轨道之间的物流效率。,160
等离子发电机,plasma_dynamo,"hist3t, pather4",轨道工厂制造公司,,100000,1000,1,EXTREME,graphics/icons/cargo/plasma_dynamo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"这个带有超导体轮的等离子发电机，是一种特殊工业系统的核心组件，它能在整个星球上生成一种等离子网络。它使对气态巨行星中蕴藏的挥发物的高效率、大规模开采成为了可能。",165
