name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
敏捷护盾,advancedshieldemitter,0,,,"defensive, shields, merc",护盾,3000,,,,3,6,9,15,data.hullmods.AcceleratedShieldEmitter,提高舰船护盾 %s 的转向速度以及 %s 的展开速度。,提高护盾转速及展开速度。,graphics/hullmods/accelerated_shields.png
自适应相位线圈,adaptive_coils,2,,,"phase, merc",相位,5000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.AdaptivePhaseCoils,"当舰船的硬幅能水平上升时，相位线圈与正常空间保持连接的能力会逐渐下降，导致线圈难以获得牵引力，极大地降低最高航速。

该调整能让线圈处理更高水平的硬幅能，使航速降至最低的硬幅能阈值提高 %s。未经处理的标准线圈在硬幅处于 %s 时航速就会降低，而调整后的则达到 %s 后才会降低。",降低硬幅能水平对最高航速的惩罚。,graphics/hullmods/phase_field.png
先进光学器件,advancedoptics,2,,,"offensive, merc",武器,1000,,,,5,10,15,25,data.hullmods.AdvancedOptics,提高光束武器 %s 的射程，但会降低其 %s 的转向速度，兼容于目标定位系统。,提高光束武器射程。,graphics/hullmods/advanced_optics.png
高级炮塔陀螺仪,turretgyros,0,,,"defensive, merc",武器,2500,,,,2,4,6,10,data.hullmods.AdvancedTurretGyros,提高所有炮台 %s 的转向速度。,提高炮台的转向速度。,graphics/hullmods/advanced_turret_gyros.png
炮塔装甲,armoredweapons,0,,,"defensive, merc","武器, 防御",2500,TRUE,,,3,6,9,15,data.hullmods.ArmoredWeapons,提高 %s 武器耐久度，并降低 %s 后坐力，但降低 %s 武器转向速度。同时提高 %s 船体装甲。,令武器更难下线，并降低后坐力。,graphics/hullmods/armored_weapon_emplacements.png
突击套件,assault_package,1,,,"defensive, civ_package, no_drop, no_drop_salvage","特殊, 防御",8000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.AssaultPackage,"提高 %s 船体结构、%s 的装甲以及 %s 的幅能容量。

在战斗中该舰会积极迎击敌人并表现得如同战斗舰船一般。",提高船体结构、装甲强度、以及幅能容量。,graphics/hullmods/assault_package.png
自动修复单元,autorepair,2,,,"engines, defensive, merc",防御,7500,,,,3,6,9,15,data.hullmods.AutomatedRepairUnit,降低 %s 在战斗中修复受损武器及引擎的时间。,提高战斗中武器的维修速率。,graphics/hullmods/automated_repair_unit.png
辅助推进器,auxiliarythrusters,1,,,"engines, merc",引擎,5000,TRUE,,,5,10,15,25,data.hullmods.AuxiliaryThrusters,提高舰船 %s 机动性，如加速度/减速度/转向加速/转向角速。,提高舰船的机动性。,graphics/hullmods/auxilliary_thrusters.png
弹道测距仪,ballistic_rangefinder,2,,,"offensive, merc",武器,8000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.BallisticRangefinder,提高实弹槽位上中小型武器的射程。,提高在实弹武器槽中，小型与中型武器的基础射程。,graphics/hullmods/ballistic_rangefinder.png
防爆气密门,blast_doors,0,,,"defensive, merc",防御,2500,TRUE,,,5,10,15,25,data.hullmods.BlastDoors,"在各个要害部位加装坚固的密封门，提高 %s 船体结构。

降低 %s 战斗中因船体结构受损而造成的船员伤亡。",提高舰船结构值，降低船员伤亡。,graphics/hullmods/blast_doors.png
改装机库,converted_hangar,1,,,"special, non_phase, merc",战机,5000,,,,0,10,15,20,data.hullmods.ConvertedHangar,"将舰船的标准穿梭机机库改装成一个临时飞行甲板。不可靠的简易制造车间只能产出劣质的战机底盘，且大量内部构件都具有轻微缺陷，导致战机航速降低 %s 且所受伤害提高 %s。

由于增加了飞行员及地勤人员的编制，最低船员需求提高 %s。轰炸机的装配点成本提高 %s，而所有其他战机则提高 %s。

不可安装在护卫舰，相位舰或本身就拥有飞行甲板的舰船上。",给非航母舰船提供临时甲板。,graphics/hullmods/converted_hangar.png
停用飞行甲板,converted_fighterbay,0,,,"req_spaceport, special, non_phase","战机, 后勤, 需要船坞",3000,,,,2,4,6,10,data.hullmods.ConvertedFighterBay,将该舰内置战机的飞行甲板改造为临时的货舱，提高该舰 %s 的货舱容量。每移除一个飞行甲板就会降低 %s 最低船员需求，最多可降低 %s 船员需求。,将内置的飞行甲板改为临时货舱。,graphics/hullmods/converted_fighter_bay.png
专注型目标锁定核心,dedicated_targeting_core,0,,,"offensive, merc",武器,2500,TRUE,,,0,0,15,25,data.hullmods.DedicatedTargetingCore,"提高实弹和能量武器射程，巡洋舰提高 %s，主力舰提高 %s。

不能安装在护卫和驱逐上，也无法与 目标定位系统 同时工作。

除了一些特化的装配，绝大多数的战斗舰船都会选择安装 目标定位系统 而非 专注型目标锁定核心。",提高实弹和能量武器的射程。,graphics/hullmods/targeting_core.png
电子反制组件,eccm,2,,,"offensive, defensive, merc",武器,2500,,,,5,8,15,20,data.hullmods.ECCMPackage,"降低 %s 导弹被电子反制或热诱弹拦截的概率。

为每枚导弹附加一个 CPU 辅核，能提高导弹 %s 的飞行速度以及 %s 的机动性，同时也显著改善了制导算法，即追踪能力。

降低 %s 因电子战失利所造成的武器射程降低。",提高导弹速度与追踪能力，并抵抗敌方电子战的效果。,graphics/hullmods/eccm_package.png
电子对抗组件,ecm,2,,,"offensive, special, merc","武器, 支援",4000,,,,6,12,18,24,com.fs.starfarer.api.impl.hullmods.ECMPackage,在战斗时，根据舰船级别，提高 %s/%s/%s/%s 电子战强度。,增强舰船的电子战能力。,graphics/hullmods/ecm_package.png
护航套件,escort_package,1,,,"weapons, engines, civ_package, no_drop, no_drop_salvage","特殊, 武器, 引擎",8000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.EscortPackage,"提高 %s 的机动性，并提高所有点防御武器 %s 的射程，同时提高 %s 对战机与导弹的伤害。

在战斗中该舰会积极迎击敌人并表现得如同战斗舰船一般。",提高舰船的机动性，点防御武器的射程以及对导弹和战机的伤害。,graphics/hullmods/escort_package.png
扩编飞行甲板人员,expanded_deck_crew,1,,,"special, merc",战机,4000,,,,5,8,15,20,com.fs.starfarer.api.impl.hullmods.ExpandedDeckCrew,"降低 %s 战机损失时整备下降速率，提高 %s 整备恢复速率。

每个甲板都会让该舰的最低船员需求提高 %s 名。",提高战机整备速率，但需要更多的船员来维持。,graphics/hullmods/expanded_deck_crew.png
扩展弹仓,magazines,1,,,"offensive, merc",武器,2500,,,,3,5,7,10,data.hullmods.ExpandedMagazines,提高实弹武器和能量武器 %s 的备弹量。,提高实弹/能量武器的备弹量。,graphics/hullmods/expanded_magazines2.png
扩展发射架,missleracks,1,,,"offensive, merc",武器,5000,,,,8,12,20,30,data.hullmods.ExpandedMissileRacks,提高导弹武器 %s 备弹量。,提高导弹武器的备弹量。,graphics/hullmods/expanded_missile_racks.png
扩展护盾,extendedshieldemitter,1,,,"shields, defensive, merc",护盾,5000,,,,4,8,12,20,data.hullmods.ExtendedShieldEmitter,提高护盾覆盖角度 %s 度。,提高护盾的最大展开角度。,graphics/hullmods/extended_shields.png
附加幅能线圈,fluxcoil,0,,,"special, merc",特殊,4000,TRUE,,,4,8,12,20,data.hullmods.FluxCoilAdjunct,根据舰船级别，提高 %s/%s/%s/%s 幅能容量。但不如直接提高幅能寄存器有效，只有前者加满后才有使用价值。,提高幅能容量。,graphics/hullmods/flux_coil_adjunct.png
幅能配送器,fluxdistributor,0,,,"special, merc",特殊,4000,TRUE,,,4,8,12,20,data.hullmods.FluxDistributor,根据舰船级别，提高 %s/%s/%s/%s 幅能耗散速率，但不如直接提高耗散通道有效，只有前者加满后才有使用价值。,提高幅能耗散。,graphics/hullmods/flux_distributor.png
固化护盾转化器,frontemitter,2,,,"shields, defensive, merc",护盾,7000,,,,3,6,10,18,data.hullmods.FrontShieldEmitter,"将全角护盾发生器锁定至正前方并额外获得 %s 的护盾角度。此外还将降低 %s 维持护盾所需的幅能。

定向护盾的展开速度是全角护盾的两倍，这也适用于本插件转化而来的定向护盾。",将全盾转换为前盾，并增大护盾面积。,graphics/hullmods/front_shield_emitter.png
护盾分流,shield_shunt,1,,,"special, shields, merc, no_build_in","特殊, 护盾",3000,,,,3,5,7,10,com.fs.starfarer.api.impl.hullmods.ShieldShunt,移除护盾。使用强化装甲板取代外部发生器节点，提高 %s 的舰船装甲。,移除护盾，强化装甲。,graphics/hullmods/shield_shunt.png
定向护盾生成器,frontshield,0,,,"shields, defensive",护盾,4000,,,,5,10,15,25,data.hullmods.FrontShieldGenerator,"为舰船安装一部临时低效的护盾发生器。护盾为前盾且展开角度为 %s 度。

该发生器会从引擎处抽取大量能源，而导致最高航速下降 %s。",为无盾船安装基础护盾，但降低最高航速。,graphics/hullmods/front_shield_generator.png
