id,type,text1,text2,text3,text4,notes
lightmg,WEAPON,"轻机枪是一种历史悠久且廉价易得的近程速射武器。贯穿整个太空战斗史，轻机枪就一直都被用来在近距离内对抗来袭的导弹与战斗机。但在面对拥有良好装甲的目标时效果不佳。

由于易于制造，轻机枪在星域中拥有着数百种不同的型号，即便这些武器的机械原理千差万别，但凡是使用化学发射药以超过 1200 发每分的射速发射动能弹头的武器都被归类为舰载轻机枪。

因为弹药的开销很低，所以流行于各种小型民用舰船当中。因弹头外包裹有高熔点金属，允许其枪口初速更快，并在近距离内产生惊人的动能伤害。",,,,
lightdualmg,WEAPON,"轻机枪的双管升级版。虽然它无法有效对付装甲目标，但自人类太空战斗史展开以来，它就已经担任着反导弹与反战机的任务。

作为一种速射小口径动能武器的连装版本，因其在拦截导弹与战机时的优秀表现而被星域中的大多数飞行员们所熟知。

双管轻机枪可在近距离内对敌舰护盾倾斜大量动能弹而致其反应堆迅速过载，而这正是那些缺乏战斗经验的菜鸟舰长所经常忽视的一种有效战术。",,,,
lightmortar,WEAPON,"尽管这种老式武器只能以低射速发射低初速的近程破甲弹，但较低的幅能需求正是它能被沿用至今的唯一理由。

光从其蓝图就不难看出，轻型迫击炮在设计之初可能并未考虑过被安装在星舰之上。但在后续发展中通过在后膛装填装置进行的一些巧妙改装，使得它得以能在大气层外安装并正常使用。在实战中，轻型迫击炮糟糕的转速和射速让它难以威胁到移动或者带护盾的目标。尽管如此，它还是经常被用于训练菜鸟炮手，以便让他们更好地掌握宇宙弹道学中的战术和术语。

如今这种轻便廉价的武器正被广泛应用于私人星舰或独行的星际飞行器上。",,,,
heavymortar,WEAPON,"拥有比表亲更高射速且能发射更大破甲弹的老式武器。尽管炮弹初速与射程较差，但较低的幅能需求正是它被沿用至今的唯一理由。

这种最初设计于行星地表作战的重型武器，其表面上是为了摧毁地面防御工事，但在城市轰炸中却发挥了更大的作用。由于机构简单且坚固耐用，因此只需替换自动测距仪与瞄准模块，就可使其在大气层外安装并正常使用。事实证明，用该武器来对付没有护盾且移动缓慢的目标时效果最佳。",,,,
vulcan,WEAPON,"能在贴身距离内对导弹与战机造成毁灭性打击的速射武器。但如果长期持续开火，其精度也会急剧下降。

这种经典的多管速射武器平台内配备有先进的计算装置，所以它通常只被允许由拥有 霸主 授权的供应商生产。常使用带有贫铀弹尖的实心弹头，虽不具爆炸性，但多管设计所产生的极高射速，使其在牺牲幅能成本的前提下，对近距离内的小型移动目标拥有着不俗的拦截效率。",,,,
lightac,WEAPON,"射程优秀的小口径自动加农炮，旨在削弱敌舰护盾，尤其是在对付护盾发生器较弱的目标时效果最佳。

拥有自动装填与水冷系统的武器，善于发射高速动能弹过载敌舰护盾。

适用于在小型舰船上提供火力支援。但较低的炮台转速，使它难以胜任反导和反战机任务。",,,,
lightdualac,WEAPON,"轻型自动加农炮的双管版本。这种优秀的密接支援武器，能有效削弱敌舰的护盾系统。由于高后坐力，其有效射程相对较短。

通过简洁巧妙的机械设计，在排出两倍于标准版数量弹壳的前提下，排除抛壳口被卡住的风险。与单管版本一致的是，该武器善于发射高速动能弹头来过载敌舰护盾。其配备的自动装填机与水冷系统也与单管版本类似。",,,,
lightag,WEAPON,"为近距离交战设计的小口径加农炮，反装甲效果优秀，且射速出众。

设计用于发射高爆弹药的小口径加农炮。为了提高安全性，它的冷却系统与自动装填器为防止高幅能状态下可能发生的弹药殉爆进行了专门设计。想要证明自己的驱逐舰舰长大多十分青睐这个小玩意。",,,,
fragbomb,WEAPON,"它能发射一连串依靠投放者惯性滑行，且配有近炸引信的小炸弹。

这种简单的三联装发射管，通过持续发射几十枚 Mk.VI 型破片炸弹来打击敌舰。尽管不具备制导与推近系统，且所谓的敌我识别完全依靠投射方的瞄准器，但它却能利用庞大的数量优势来覆盖大片区域，并在近炸引信被敌机触发时引爆，来产生类似防空炮的效果，以暂时在该位置生成防空拦截区。",,,,
clusterbomb,WEAPON,"释放一群依靠惯性飘浮的高爆炸弹，能有效摧毁缺乏点防的低速目标。

这种拥有三联装发射管的集束炸弹投射器，旨在持续发射几十枚完全依赖惯性飘浮的，且无制导、敌我识别与推近系统的 Mk.II 型高爆炸弹来打击敌舰，这些集束炸弹不仅能有效威胁缺乏护盾的老旧星舰，其惊人的投放量，也能起到区域封锁与正面压制的作用。",,,,
bomb,WEAPON,"久经考验的武器系统，其弹舱所携带的大量高爆弹头是依靠发射者那得到的速度飞向目标。

每个炸弹舱都装配有若干枚能逐一发射的 Comp-X 高爆炸弹。由于这些炸弹没有推进系统，而只能依赖从发射者那得到的速度飞向目标 (即，俯冲轰炸)。此外这项设计中所整合的热屏障也能使这些脆弱的炸弹能在敌方点防火力网下存活更久。",,,,
lightneedler,WEAPON,"每次开火均发射大量小型箭弹，爆发间隔较短。它强大的火力能迅速击溃绝大多数护盾系统，但对装甲难以起效。

发射无壳箭弹的小口径火炮。其令人过目难忘的供弹系统，能以每秒数百发的速度投射 ""针刺""。因不需要退壳机构，而由此富余下来的空间则安装了额外的冷却系统，以进一步提高射速。

人之领 海军理论表明，尽管该武器的主要职能是在较远距离外处理目标的护盾，但在紧要关头，火控手也应当将这些针刺转而应对敌方的战机单位和导弹威胁。",,,,
railgun,WEAPON,"轻型自动炮的一种高科技改良版本，能更精确地发射中程金属弹头，与前者同样擅长压制敌舰的护盾系统。

作为高斯炮的微缩变种版，而采用了相同的电磁发射技术，以获得优秀的精度与射程，且在不开火时，炮台的转速也非常之快。

对于炮手而言，在幅能充足的情况下，轨道炮将比轻型自动炮更胜一筹。",,,,
shredder,WEAPON,"一种多管旋转加农炮，工程规范浅显易读，操作维护简单方便。因此全星域的专业武器技师都在抱怨这种武器助长了各种不良维护习惯。

发射冰雹般小型破片弹来撕碎导弹与战机。幅能需求不高，但对装甲和护盾效果欠佳。",,,,
flak,WEAPON,"发射装有近炸引信的破片榴弹，以最大限度地对抗战机与导弹。

在 大崩塌 前那令人陶醉的年代里，该武器系统就随着小型廉价战机，特别是扮演打击角色战机的迅速崛起，而越发常见。其发射装有近炸引信的榴弹，能在爆炸时将大量弹片扩散至很大的范围内，以产生显著的杀伤半径。而最新型号还在火控系统内固化 Mk.VI 轨迹预测系统。",,,,
heavymg,WEAPON,"作为那些无处不在的速射机枪类武器的大兄弟，重机枪能有效地对付各种中小型目标。

作为星域中大部分巡逻船只值得信赖的选择，其使用的可靠气体反冲式机制，与用于开栓清洁用的主动弹药自燃保险和防双弹保护，甚至可以追溯到古老的地球时代。通常被安装在一处较重的底座上以吸收长时间连续射击产生的后坐力，虽武器口径有一定变化，但自动工厂仍能轻松制造。

因这些更重的弹头不像较轻的弹头那样在冲击中碎裂，而足以威胁到护卫舰的舰体。虽射速不如火神炮，但出色的精度让它足以担负点防御的重任。",,,,
arbalest,WEAPON,"古老的武器设计方案，其单发伤害在同级武器中较高。发射能有效对抗敌舰护盾系统的动能炮弹。

在 大崩塌 发生时，大部分的重型巡逻舰都配备有劲弩 Mk.I 武器平台。这可能就是劲弩自动炮是该星域中回收产量最高的武器系统的原因。由于冷却系统过于陈旧且不具备自动抛壳机，该武器系统的射速与可靠性相当糟糕。

它唯一的优点就是劲弩炮弹的蓝图容易获得，且在对付护盾时非常有效。如今这些炮弹如此有效的原因尚不明朗，但有人猜测这些炮弹外壳的设计可能无意间产生了某种电磁特性。",,,,
dualflak,WEAPON,"高射炮凶残而有效的双管升级版。以高效撕碎来袭的战机而被冠名以：寡妇制造者。

与标准高射炮相同，该武器不仅拥有良好的射速与炮塔转速，且能发射双倍近炸引信炸榴弹并快速歼灭战机与导弹，其环形破片散布也能产生更高的杀伤半径。由于惧怕这种武器的防空能力，而导致战机很少对装有该武器的战舰发动袭击。",,,,
chaingun,WEAPON,"由 GA-X 工业集团所生产的 Mk.II 突击链炮擅长近距离交火，特别是当精度不如火力密度和射速重要的时候。

拥有电动供弹/退壳系统和集成在炮管内的纳米冷却单元的突击链炮，能以将近每分 400 发的速度向目标倾泻锥形高爆破甲弹，而成为了 ""肉搏型"" 舰长们的最爱。

唯一的缺点是武器转速比预想得要慢。这是由于附属的调速器蓝图已经失传，而导致它不得不安装在一些不兼容的转轴上所导致的。",,,,
heavymauler,WEAPON,"旨在远程破坏装甲的先进武器系统。尽管射速较低但爆发伤害较高。

重型撕裂者是一种设计用于在中远程攻击目标的残暴武器。它的核心是一门拥有纳米冷却系统和外置抛壳口的自动加农炮。不过与常见加农炮所不同的是，重型撕裂者独特的反物质装填器能将痕量标准星舰燃料馈送至炮管。

离开炮膛时，每发炮弹的弹尖都被充入由重子镀层稳定的反质子，它们悬浮在炮弹尖端 10-20 纳米处。当炮弹击中敌舰时，这层反质子 ""外鞘"" 会失去稳态并发生质量溃灭，来进一步破坏目标。溃灭反应将在炮弹本身所产生的巨大破坏力的基础上继续造成损伤，这使其在对付装甲时尤为有效。",,,,
heavyac,WEAPON,"使用标准炮弹向中距离目标三发点射的三管自动加农炮。用来对付护盾时最为有效。

这种中口径三联装自动加农炮，不仅采用等口径的标准弹药，且使用的电发火引信也能确保它能准确依次开火。作为一种优秀的火力支援武器，常常被安装于驱逐舰和巡洋舰上，而数组重型自动炮阵列配合恰当的攻击策略甚至能对主力舰构成重大威胁。

但复杂的自动装填机与冷却系统所增加的质量使得炮台的转速相当之慢。",,,,
hveldriver,WEAPON,"用于在远距离内过载并瘫痪敌舰系统的专用武器。所发射的高速硬铀合金块也能有效对付护盾。

高速打击者通过二阶段加速将含有磁性钴铁核心的硬铀合金块加速到极高速度。第一阶段使用化学推进剂加速。并由二阶段磁力线圈进一步加速弹头并稳定弹道。弹头在击中目标前将携带大量电荷，因此在碰撞时会对敌舰产生强大的电磁干扰。",,,,
heavyneedler,WEAPON,"装在加重底座上的联装轻型针刺。以迅速击溃护盾的能力而被闻名于众。

在轻型针刺的基础上改进而来的先进武器，它升级了供弹与冷却系统，进一步提高射速，而弹药与前者同样采用了高硬度钨包被的无壳箭弹。",,,,
